Directory	Run	LogLikelihood	ModelParameters	ModelValues
output_nomask_group2-Amil_process4_18-4-25	Run 6	-15287.67	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.351, 0.038, 2.54, 1.122, 14.618, 0.00e+00, 0.033, 2.3, 19.664, 9.654, 0.038, 0.219, 9884.01)
output_nomask_group2-Amil_process4_18-4-25	Run 5	-15290.11	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.055, 0.074, 3.161, 1.333, 15.397, 0.00e+00, 0.058, 2.565, 22.544, 11.091, 0.035, 0.186, 8681.41)
output_nomask_group2-Amil_process4_18-4-25	Run 4	-15298.62	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.618, 1.356, 2.956, 1.282, 15.631, 0.00e+00, 0.058, 2.457, 21.552, 10.566, 0.037, 0.19, 9060.22)
output_nomask_group3-Amil_process3_18-4-25	Run 8	-15117.25	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(2.915, 0.029, 2.757, 1.105, 12.401, 0.00e+00, 0.00e+00, 2.598, 20.567, 9.833, 0.03, 0.238, 9872.52)
output_nomask_group3-Amil_process3_18-4-25	Run 5	-15123.95	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.122, 0.2, 3.228, 1.277, 18.958, 0.00e+00, 0.00e+00, 2.795, 23.095, 10.399, 0.029, 0.219, 8940.73)
output_nomask_group3-Amil_process3_18-4-25	Run 6	-15134.18	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.334, 1.331, 2.797, 1.114, 13.315, 0.00e+00, 0.045, 2.468, 20.076, 9.681, 0.035, 0.229, 10117.05)
output_nomask_group3-Amil_process3_18-4-25	Run 3	-15136.16	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.679, 44.138, 2.692, 1.103, 11.69, 0.00e+00, 0.023, 2.51, 20.01, 9.913, 0.033, 0.231, 10089.80)
output_nomask_group3-Amil_process3_18-4-25	Run 2	-15153.36	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.494, 0.657, 3.97, 1.439, 13.724, 0.00e+00, 0.071, 3.084, 25.141, 12.581, 0.028, 0.174, 8029.74)
output_nomask_group1-Amil_process2_18-4-25	Run 8	-13695.63	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.633, 100.0, 5.0, 1.001, 12.676, 0.013, 0.24, 1.712, 18.723, 11.167, 0.037, 0.173, 9603.78)
output_nomask_group1-Amil_process2_18-4-25	Run 7	-13712.55	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(5.102, 4.233, 5.0, 1.245, 13.628, 0.00e+00, 0.186, 1.895, 20.861, 12.483, 0.032, 0.166, 8693.53)
output_nomask_group1-Amil_process2_18-4-25	Run 5	-13717.78	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.754, 0.332, 3.093, 0.854, 19.027, 0.00e+00, 0.211, 1.298, 14.486, 7.263, 0.047, 0.28, 12527.50)
output_nomask_group1-Amil_process2_18-4-25	Run 6	-13758.34	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.675, 0.444, 5.0, 1.281, 24.915, 0.00e+00, 0.128, 2.01, 22.058, 11.048, 0.029, 0.189, 8296.21)
output_nomask_group1-Amil_process2_18-4-25	Run 2	-13835.14	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.07, 0.465, 5.0, 1.0, 16.848, 0.024, 0.165, 2.067, 21.003, 12.25, 0.03, 0.167, 8429.77)
output_nomask_group3-group4_process1_18-4-25	Run 3	-4260.09	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.139, 1.073, 2.347, 3.411, 33.999, 0.00e+00, 0.00e+00, 0.888, 18.437, 31.116, 1.031, 0.093, 6696.86)
output_nomask_group3-group4_process1_18-4-25	Run 6	-4520.39	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.568, 0.294, 2.304, 5.116, 33.53, 2.74e-04, 0.00e+00, 0.865, 18.025, 28.248, 0.874, 0.164, 6822.77)
output_nomask_group3-group4_process1_18-4-25	Run 1	-4573.40	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(0.22, 3.74, 2.098, 4.192, 36.797, 0.157, 0.00e+00, 0.688, 15.957, 22.774, 1.052, 0.183, 7593.59)
output_nomask_group3-group4_process1_18-4-25	Run 2	-4814.83	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.155, 0.153, 2.075, 3.482, 35.636, 0.00e+00, 0.00e+00, 1.074, 16.453, 28.107, 0.826, 0.148, 6901.96)
output_nomask_group3-group4_process1_18-4-25	Run 5	-4870.33	(nu_1, nu_2, t1, nu11, nu12, m1_12, m1_21, t2, nu21, nu22, m2_12, m2_21, theta)	(1.834, 0.383, 1.855, 3.072, 37.536, 0.00e+00, 0.00e+00, 0.995, 14.276, 25.914, 0.965, 0.143, 7454.45)
